ride_id,rideable_type,started_at,ended_at,start_hour,trip length,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,start_loc,end_loc
7D451A9C489FE4D2,classic_bike,2022-12-10 09:49:06,2022-12-10 10:19:17,9,29:49,Broadway & Belmont Ave,13277,St. Clair St & Erie St,13016,41.940106,-87.645451,41.8943451374243,-87.6227983832359,member,"41.940106,-87.645451","41.8943451374243,-87.6227983832359"
5485FF7449056817,electric_bike,2022-12-03 08:49:57,2022-12-03 09:05:14,8,44:43,Broadway & Belmont Ave,13277,Southport Ave & Waveland Ave,13235,41.9400921666667,-87.6455071666667,41.94815,-87.66394,member,"41.9400921666667,-87.6455071666667","41.94815,-87.66394"
4872327B2E128FA3,electric_bike,2022-12-29 06:05:00,2022-12-29 06:15:07,6,49:52,Sedgwick St & North Ave,TA1307000038,St. Clair St & Erie St,13016,41.911310911,-87.638645411,41.8943451374243,-87.6227983832359,casual,"41.911310911,-87.638645411","41.8943451374243,-87.6227983832359"
475B31AA947B3532,classic_bike,2022-12-30 18:30:36,2022-12-30 18:47:28,18,43:08,Broadway & Belmont Ave,13277,Southport Ave & Waveland Ave,13235,41.940106,-87.645451,41.94815,-87.66394,casual,"41.940106,-87.645451","41.94815,-87.66394"
2D6DA4E97238296E,classic_bike,2022-12-30 18:31:11,2022-12-30 18:47:33,18,43:38,Broadway & Belmont Ave,13277,Southport Ave & Waveland Ave,13235,41.940106,-87.645451,41.94815,-87.66394,casual,"41.940106,-87.645451","41.94815,-87.66394"
45C3839EBB82685C,electric_bike,2022-12-06 07:46:02,2022-12-06 07:54:15,7,51:47,Sheffield Ave & Wellington Ave,TA1307000052,Southport Ave & Waveland Ave,13235,41.93634367,-87.652586699,41.94815,-87.66394,member,"41.93634367,-87.652586699","41.94815,-87.66394"
1A9904B4643A4040,electric_bike,2022-12-02 07:57:50,2022-12-02 08:06:47,7,51:03,Clark St & Elm St,TA1307000039,Wacker Dr & Washington St,KA1503000072,41.9028186666667,-87.6316435,41.8831433643902,-87.6372420787811,member,"41.9028186666667,-87.6316435","41.8831433643902,-87.6372420787811"
6C5CCD62502FF93E,classic_bike,2022-12-15 06:36:57,2022-12-15 06:42:44,6,54:13,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.8943451374243,-87.6227983832359,member,"41.902973,-87.63128","41.8943451374243,-87.6227983832359"
AF7CDB8B61543025,classic_bike,2022-12-20 13:51:34,2022-12-20 13:56:35,13,54:59,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.8943451374243,-87.6227983832359,member,"41.902973,-87.63128","41.8943451374243,-87.6227983832359"
8EDB4EFBDF83FB80,classic_bike,2022-12-02 06:31:29,2022-12-02 06:37:23,6,54:06,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.8943451374243,-87.6227983832359,member,"41.902973,-87.63128","41.8943451374243,-87.6227983832359"
426F5196EC7698E2,classic_bike,2022-12-16 06:29:51,2022-12-16 06:35:08,6,54:43,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.8943451374243,-87.6227983832359,member,"41.902973,-87.63128","41.8943451374243,-87.6227983832359"
8124DCCE6B070D73,classic_bike,2022-12-12 06:18:55,2022-12-12 06:24:45,6,54:10,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.8943451374243,-87.6227983832359,member,"41.902973,-87.63128","41.8943451374243,-87.6227983832359"
6DFEF9DDABF9227C,classic_bike,2022-12-06 06:40:23,2022-12-06 06:46:44,6,53:39,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.8943451374243,-87.6227983832359,member,"41.902973,-87.63128","41.8943451374243,-87.6227983832359"
BD4CDDF4D40EC4D3,electric_bike,2022-12-14 11:10:20,2022-12-14 11:27:21,11,42:59,Western Ave & Roscoe St,15634,Spaulding Ave & Armitage Ave,15650,41.943179,-87.6872345,41.9171080347893,-87.7102209627628,member,"41.943179,-87.6872345","41.9171080347893,-87.7102209627628"
9E7EDB16ACE6AD29,classic_bike,2022-12-12 11:06:02,2022-12-12 11:10:33,11,55:29,Clinton St & Roosevelt Rd,WL-008,Clinton St & Polk St,15542,41.8671177825,-87.6410879593,41.87146651779,-87.6409491327,member,"41.8671177825,-87.6410879593","41.87146651779,-87.6409491327"
